npi,state,city,zip_code,street_address,street_address_2,phone,organization_name,accepts_medicare,accepts_medicaid,is_valid_record,filter_combination,ingestion_timestamp,load_id,record_id
1043669484,NY,NEW YORK,100010265,109 W 27TH ST,SUITE 4N,3322032522,EAST COAST HEALTH MEDICAL SERVICES PC,True,True,True,pri_spec=INTERNAL MEDICINE + state=NY,2025-11-16 19:24:28.388599,20251116_192428,1043669484_NY_593
1033157912,NY,NEW YORK,100011810,5 PENN PLZ,,6466471249,CITY MEDICAL OF UPPER EAST SIDE PLLC,True,True,True,pri_spec=INTERNAL MEDICINE + state=NY,2025-11-16 19:24:28.388599,20251116_192428,1033157912_NY_368
1073621231,NY,NEW YORK,100011810,5 PENN PLZ,FL 23,7183609370,HOUSECALLS MEDICINE NY PC,True,True,True,pri_spec=INTERNAL MEDICINE + state=NY,2025-11-16 19:24:28.388599,20251116_192428,1073621231_NY_956
1033290242,NY,NEW YORK,100025808,280 HENRY ST,,2122278401,BETANCES HEALTH CENTER,False,True,True,pri_spec=INTERNAL MEDICINE + state=NY,2025-11-16 19:24:28.388599,20251116_192428,1033290242_NY_407
1023034287,NY,NEW YORK,100027537,227 MADISON ST,,2122387182,NEW YORK CITY HEALTH AND HOSPITALS CORPORATION,True,True,True,pri_spec=INTERNAL MEDICINE + state=NY,2025-11-16 19:24:28.388599,20251116_192428,1023034287_NY_253
1063078087,NY,NEW YORK,100033804,301 E 17TH ST,,2125982454,NYU LANGONE HOSPITALS,True,True,True,pri_spec=INTERNAL MEDICINE + state=NY,2025-11-16 19:24:28.388599,20251116_192428,1063078087_NY_765
1023006020,NY,NEW YORK,100097813,279 E 3RD ST,,2124778500,WILLIAM F RYAN COMMUNITY HEALTH CENTER INC,True,True,True,pri_spec=INTERNAL MEDICINE + state=NY,2025-11-16 19:24:28.388599,20251116_192428,1023006020_NY_241
1033670989,NY,NEW YORK,100117524,14 W 14TH ST,,2123900558,CITY MEDICAL OF UPPER EAST SIDE PLLC,True,True,True,pri_spec=INTERNAL MEDICINE + state=NY,2025-11-16 19:24:28.388599,20251116_192428,1033670989_NY_459
1043367204,NY,NEW YORK,100118008,80 5TH AVE,SUITE 1601,2126458500,LIGUORI AND GOLDSTEIN MDS PC,True,True,True,pri_spec=INTERNAL MEDICINE + state=NY,2025-11-16 19:24:28.388599,20251116_192428,1043367204_NY_540
1063866408,NY,NEW YORK,100133802,25 HUDSON ST,,2124414401,MOUNT SINAI SCHOOL OF MEDICINE,True,True,True,pri_spec=INTERNAL MEDICINE + state=NY,2025-11-16 19:24:28.388599,20251116_192428,1063866408_NY_867
1053687491,NY,NEW YORK,100134557,139 CENTRE ST,SUITE 709,2129650496,CHINATOWN TRUE CARE MEDICAL PLLC,True,True,True,pri_spec=INTERNAL MEDICINE + state=NY,2025-11-16 19:24:28.388599,20251116_192428,1053687491_NY_719
1033174834,NY,NEW YORK,100164974,317 E 34TH ST,,2128890770,NEPHROLOGY ASSOCIATES OF MANHATTAN PC,True,True,True,pri_spec=INTERNAL MEDICINE + state=NY,2025-11-16 19:24:28.388599,20251116_192428,1033174834_NY_372
1063559797,NY,NEW YORK,100165563,38 E 32ND ST,FL 9,2127252020,MARCUS AVENUE MEDICAL PC,True,True,True,pri_spec=INTERNAL MEDICINE + state=NY,2025-11-16 19:24:28.388599,20251116_192428,1063559797_NY_824
1013927235,NY,NEW YORK,100166055,145 E 32 ST,SUITE 303,2127255300,MANHATTAN INTERNAL MEDICINE ASSOCIATES PC,True,True,True,pri_spec=INTERNAL MEDICINE + state=NY,2025-11-16 19:24:28.388599,20251116_192428,1013927235_NY_223
1073546107,NY,NEW YORK,100172878,747 3RD AVE,,3145146000,CRITICAL CARE SERVICES PC,True,True,True,pri_spec=INTERNAL MEDICINE + state=NY,2025-11-16 19:24:28.388599,20251116_192428,1073546107_NY_924
1013335041,NY,NEW YORK,100176145,489 5TH AVE,FL 3,2125302288,MOUNT SINAI SCHOOL OF MEDICINE,True,True,True,pri_spec=INTERNAL MEDICINE + state=NY,2025-11-16 19:24:28.388599,20251116_192428,1013335041_NY_181
1043352982,NY,NEW YORK,100213235,159 E 74 ST,,2127373301,STEPHEN J NICHOLAS MD PC,True,True,True,pri_spec=INTERNAL MEDICINE + state=NY,2025-11-16 19:24:28.388599,20251116_192428,1043352982_NY_539
1003940784,NY,NEW YORK,100235024,199 AMSTERDAM AVE,,6468630463,NORTH SHORE LIJ URGENT CARE PC,True,True,True,pri_spec=INTERNAL MEDICINE + state=NY,2025-11-16 19:24:28.388599,20251116_192428,1003940784_NY_129
1003267675,NY,NEW YORK,100323720,622 W 168TH ST,,,TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK,True,True,True,pri_spec=INTERNAL MEDICINE + state=NY,2025-11-16 19:24:28.388599,20251116_192428,1003267675_NY_50
1003902024,NY,NEW YORK,100323720,622 W 168TH ST,,2123059876,TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK,True,True,True,pri_spec=INTERNAL MEDICINE + state=NY,2025-11-16 19:24:28.388599,20251116_192428,1003902024_NY_112
1013025253,NY,NEW YORK,100323720,622 W 168TH ST,,2123059876,TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK,True,True,True,pri_spec=INTERNAL MEDICINE + state=NY,2025-11-16 19:24:28.388599,20251116_192428,1013025253_NY_141
1023206315,NY,NEW YORK,100323720,622 W 168TH ST,,2123059876,TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK,True,True,True,pri_spec=INTERNAL MEDICINE + state=NY,2025-11-16 19:24:28.388599,20251116_192428,1023206315_NY_308
1033205190,NY,NEW YORK,100323720,622 W 168TH ST,,,TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK,True,True,True,pri_spec=INTERNAL MEDICINE + state=NY,2025-11-16 19:24:28.388599,20251116_192428,1033205190_NY_391
1033213426,NY,NEW YORK,100323720,622 W 168TH ST,,2123059876,TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK,True,True,True,pri_spec=INTERNAL MEDICINE + state=NY,2025-11-16 19:24:28.388599,20251116_192428,1033213426_NY_395
1053775833,NY,NEW YORK,100323720,622 W 168TH ST,,2123059876,TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK,True,True,True,pri_spec=INTERNAL MEDICINE + state=NY,2025-11-16 19:24:28.388599,20251116_192428,1053775833_NY_733
1053848226,NY,NEW YORK,100323720,622 W 168TH ST,,2123059876,TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK,True,True,True,pri_spec=INTERNAL MEDICINE + state=NY,2025-11-16 19:24:28.388599,20251116_192428,1053848226_NY_748
1073542866,NY,NEW YORK,100323720,622 W 168TH ST,,,TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK,True,True,True,pri_spec=INTERNAL MEDICINE + state=NY,2025-11-16 19:24:28.388599,20251116_192428,1073542866_NY_922
1013025253,NY,NEW YORK,100323722,180 FORT WASHINGTON AVE,,2123050209,TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK,True,True,True,pri_spec=INTERNAL MEDICINE + state=NY,2025-11-16 19:24:28.388599,20251116_192428,1013025253_NY_142
1033213426,NY,NEW YORK,100323722,180 FORT WASHINGTON AVE,,2123050209,TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK,True,True,True,pri_spec=INTERNAL MEDICINE + state=NY,2025-11-16 19:24:28.388599,20251116_192428,1033213426_NY_396
1023206315,NY,NEW YORK,100323822,1150 SAINT NICHOLAS AVE,,2123054931,TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK,True,True,True,pri_spec=INTERNAL MEDICINE + state=NY,2025-11-16 19:24:28.388599,20251116_192428,1023206315_NY_309
1063481778,NY,NEW YORK,100352811,1752 PARK AVE,,6466946680,NEW YORK CITY HEALTH AND HOSPITALS CORPORATION,True,True,True,pri_spec=INTERNAL MEDICINE + state=NY,2025-11-16 19:24:28.388599,20251116_192428,1063481778_NY_799
1043315831,NY,NEW YORK,100364702,590 5TH AVE,,2125827117,ADVANTAGECARE PHYSICIANS PC,True,True,True,pri_spec=INTERNAL MEDICINE + state=NY,2025-11-16 19:24:28.388599,20251116_192428,1043315831_NY_531
1053574749,NY,NEW YORK,100385327,156 WILLIAM ST,7TH FLOOR,6469625279,"THE ROGOSIN INSTITUTE, INC.",True,True,True,pri_spec=INTERNAL MEDICINE + state=NY,2025-11-16 19:24:28.388599,20251116_192428,1053574749_NY_708
1043572126,NY,NEW YORK,100656007,1275 YORK AVE,,2126392000,MEMORIAL SOLID TUMOR GROUP,True,True,True,pri_spec=INTERNAL MEDICINE + state=NY,2025-11-16 19:24:28.388599,20251116_192428,1043572126_NY_578
1043572126,NY,NEW YORK,100656094,1275 YORK AVE,,2126392000,MEMORIAL MEDICAL CONSULTATION GROUP,True,True,True,pri_spec=INTERNAL MEDICINE + state=NY,2025-11-16 19:24:28.388599,20251116_192428,1043572126_NY_579
1063408474,NY,NEW YORK,100656105,646 PARK AVE,,5166165500,NEW YORK BARIATRIC SURGERY GROUP PLLC,True,True,True,pri_spec=INTERNAL MEDICINE + state=NY,2025-11-16 19:24:28.388599,20251116_192428,1063408474_NY_770
1013127562,NY,NEW YORK,100657954,500 E 63RD ST,APT 18J,5165096501,CRITICAL CARE MEDICAL MANAGEMENT ASSOCIATES PLLC,True,True,True,pri_spec=INTERNAL MEDICINE + state=NY,2025-11-16 19:24:28.388599,20251116_192428,1013127562_NY_156
1013981331,NY,STATEN ISLAND,103031735,2079 FOREST AVE,,7188156560,BEACON CHRISTIAN COMMUNITY HEALTH CENTER INC,True,True,True,pri_spec=INTERNAL MEDICINE + state=NY,2025-11-16 19:24:28.388599,20251116_192428,1013981331_NY_238
1003992074,NY,STATEN ISLAND,103071402,7098 AMBOY RD,,7183565600,"TOTTENVILLE MEDICAL PAVILION, PLLC.",True,True,True,pri_spec=INTERNAL MEDICINE + state=NY,2025-11-16 19:24:28.388599,20251116_192428,1003992074_NY_136
1073771556,NY,STATEN ISLAND,103101664,355 BARD AVE,,,"AMBOY MEDICAL PRACTICE, P.C.",True,True,True,pri_spec=INTERNAL MEDICINE + state=NY,2025-11-16 19:24:28.388599,20251116_192428,1073771556_NY_985
1073771556,NY,STATEN ISLAND,103102419,1058 FOREST AVE,,7188181058,"AMBOY MEDICAL PRACTICE, P.C.",True,True,True,pri_spec=INTERNAL MEDICINE + state=NY,2025-11-16 19:24:28.388599,20251116_192428,1073771556_NY_986
